,CB_company_uuid,legal_name,domain,city,status,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,founded_on,last_funding_on,employee_count,raised_amount_usd,acquiree_name,acquirer_name,acquired_on,went_public_on,valuation_price_usd,valuation_price,money_raised_usd,money_raised,CB_people_uuid,person_name,started_on,ended_on,is_current,title,job_type,first_name,last_name,gender,facebook_url,linkedin_url,twitter_url,facebook_url_exists,linkedin_url_exists,twitter_url_exists
10,c2d47d05-9e78-de77-084c-dd5171251ff1,"Asana, Inc.",asana.com,San Francisco,ipo,"Other,Software",13.0,453200000.0,453200000.0,2008-01-01,2020-06-06,1001-5000,453200000.0,,,,2020-09-30,5500000000.0,5500000000.0,630000000.0,630000000.0,084aaa07-0795-1fe8-9c46-98bbeb02cd64,Dustin Moskovitz,2008-11-01,,True,CEO & Co-Founder,executive,Dustin,Moskovitz,male,http://www.facebook.com/moskov,https://www.linkedin.com/in/dmoskov,http://twitter.com/moskov,1,1,1
31,9921555e-1f0c-9404-6e89-24bc1641085b,Xoom Corporation,xoom.com,San Francisco,acquired,"Commerce and Shopping,Financial Services,Payments",7.0,104349000.0,104349000.0,2001-03-01,2011-11-22,101-250,104349000.0,Xoom,PayPal,2015-07-02,2013-02-15,509422656.0,509422656.0,101200000.0,101200000.0,b9ef118c-9258-b287-3107-59c6f3625134,Alan Braverman,,,False,Co-Founder,executive,Alan,Braverman,male,http://www.facebook.com/alanbraverman,http://www.linkedin.com/in/alanb,http://twitter.com/alanb42,1,1,1
45,1eb37109-3b93-01a9-177f-fee2cb1bfcdc,Uber Technologies Inc.,uber.com,San Francisco,ipo,"Apps,Mobile,Software,Transportation",33.0,25212450000.0,25212450000.0,2009-03-01,2020-09-14,10000+,25212450000.0,,,,2019-05-09,82400000000.0,82400000000.0,8100000000.0,8100000000.0,65c9a0d1-8947-78b3-23fd-037b1495ef0b,Garrett Camp,2009-01-01,,True,Founder & Chairman,executive,Garrett,Camp,male,http://www.facebook.com/garrettcamp,http://www.linkedin.com/in/garrettcamp,https://twitter.com/gc,1,1,1
67,a2e8a0ad-43ff-2039-3784-e53026415bbc,Hatchlearn Inc.,outlearn.com,Boston,closed,"Education,Software",3.0,4049999.0,4049999.0,2014-10-01,2021-06-28,1-10,4049999.0,Outlearn,Qwiklabs,2016-06-24,,,,,,22e4b780-4016-c1c2-2a1b-c51cc4d34f38,Will Koffel,2015-02-01,2016-06-01,False,Co-Founder & CTO,executive,Will,Koffel,male,http://www.facebook.com/wkoffel,http://www.linkedin.com/in/wkoffel,http://twitter.com/wkoffel,1,1,1
78,4cb7db7b-0581-3c51-3ff1-8ae84a0a101e,"Barkbox, Inc.",tinyurl.com,New York,ipo,"Commerce and Shopping,Community and Lifestyle,Media and Entertainment,Other",6.0,281725000.0,281725000.0,2011-01-01,2021-06-02,501-1000,281725000.0,,,,2021-06-02,1600000000.0,1600000000.0,454000000.0,454000000.0,d91db483-0545-7e64-781f-748ad120b701,Henrik Werdelin,,,True,Co-founder,executive,Henrik,Werdelin,male,,http://www.linkedin.com/in/werdelin,http://twitter.com/werdelin,0,1,1
97,c94da421-a3ce-21e5-5b19-4ac8bc386e49,Moon Express Inc.,moonexpress.com,Cape Canaveral,operating,"Government and Military,Science and Engineering,Transportation",6.0,65500000.0,65500000.0,2010-08-01,2018-10-01,11-50,65500000.0,,,,,,,,,c8e7821b-6b32-8d5a-397d-fdc3bcf60cdc,Barney Pell,2010-08-01,,True,Co-Founder & CTO,executive,Barney,Pell,male,http://www.facebook.com/barneypell,http://www.linkedin.com/in/barneypell,http://twitter.com/barneyp,1,1,1
100,cdf7dc7e-53aa-4e46-6def-1868f9b8239d,"Amaze Software, Inc.",amaze.co,Costa Mesa,operating,"Commerce and Shopping,Content and Publishing,Design,Internet Services,Media and Entertainment,Other,Sales and Marketing,Software,Video",5.0,36800000.0,36800000.0,2011-06-01,2021-10-30,11-50,36800000.0,,,,,,,,,d289767c-e904-128f-4ef9-cf28163ead6f,Steve Newcomb,2011-05-01,2020-08-31,False,Founder & CEO,executive,Steve,Newcomb,male,https://www.facebook.com/jeffcombsfan,http://www.linkedin.com/in/stevenewcomb,http://twitter.com/stevenewcomb,1,1,1
103,cd0c07c0-28c5-44e7-97f6-d5ee99308ab4,Collective Hub Inc.,collective.com,San Francisco,operating,Financial Services,3.0,28650000.0,28650000.0,2020-01-01,2021-05-12,101-250,28650000.0,,,,,,,,,8e0d4317-ef97-1ee8-97cc-e65f146028ab,Hooman Radfar,2019-09-01,,True,Founder and CEO,executive,Hooman,Radfar,male,http://www.facebook.com/hoomanradfar,http://www.linkedin.com/in/hooman,http://twitter.com/hoomanradfar,1,1,1
113,726b8ca0-0190-c072-aecc-3e421a00fcb8,"OneSpot, Inc.",onespot.com,Austin,operating,"Advertising,Artificial Intelligence,Content and Publishing,Data and Analytics,Media and Entertainment,Sales and Marketing,Software",7.0,17882151.0,17882151.0,2005-01-01,2017-03-06,11-50,17882151.0,,,,,,,,,f0e99fe3-491f-8d13-7422-90728cd6ac7e,Ian Clarke,2012-02-01,,False,Co-Founder and CTO,executive,Ian,Clarke,male,http://www.facebook.com/sanity,http://www.linkedin.com/in/iancjclarke,http://twitter.com/sanity,1,1,1
118,98cd9691-c7ca-dd25-0dd4-665b52e9797d,"NING, Interactive Inc.",ning.com,Menlo Park,acquired,"Community and Lifestyle,Software",4.0,134000000.0,134000000.0,2004-10-31,2009-07-23,101-250,134000000.0,Ning Interactive,Mode Media,2011-09-20,,,,,,03ff90e6-300a-b33b-bb72-a2373d59645a,Gina Bianchini,2004-01-01,2010-03-15,False,CEO & Co-Founder,executive,Gina,Bianchini,female,http://www.facebook.com/ginabianchini,http://www.linkedin.com/in/ginabianchini,http://twitter.com/ginab,1,1,1
120,98cd9691-c7ca-dd25-0dd4-665b52e9797d,"NING, Interactive Inc.",ning.com,Menlo Park,acquired,"Community and Lifestyle,Software",4.0,134000000.0,134000000.0,2004-10-31,2009-07-23,101-250,134000000.0,Ning Interactive,Mode Media,2011-09-20,,,,,,3ba9203f-c79b-3166-2183-c1d690f00bcb,Marc Andreessen,2004-09-01,,True,Co-Founder,executive,Marc,Andreessen,male,http://www.facebook.com/pmarca,,http://twitter.com/pmarca,1,0,1
124,b93d25ff-cf38-929e-57a6-b40bf77db9ca,"LifeLock, Inc.",lifelock.com,Tempe,acquired,"Other,Privacy and Security",7.0,201340000.0,201340000.0,2005-08-01,2016-05-21,501-1000,201340000.0,LifeLock,NortonLifeLock,2016-11-20,2013-10-03,776775267.0,776775267.0,141300000.0,141300000.0,07f0d9f1-30a4-b522-4c67-fe404c439626,Todd Davis,2005-03-01,,True,Founder & Executive Vice Chairman,executive,Todd,Davis,male,,https://www.linkedin.com/in/todd-davis-183380,,0,1,0
125,b93d25ff-cf38-929e-57a6-b40bf77db9ca,"LifeLock, Inc.",lifelock.com,Tempe,acquired,"Other,Privacy and Security",7.0,201340000.0,201340000.0,2005-08-01,2016-05-21,501-1000,201340000.0,LifeLock,NortonLifeLock,2016-11-20,2013-10-03,776775267.0,776775267.0,141300000.0,141300000.0,4da1d049-1d7d-6935-c382-36c7733ac3ac,Robert Maynard,2003-01-01,2007-06-30,False,Founder & Chief Marketing Officer,executive,Robert,Maynard,male,,https://www.linkedin.com/in/robert-maynard-provenmarketer,https://twitter.com/robertmaynardjr,0,1,1
129,4c8d7754-50b1-a165-3dfe-a5d62877bbb6,Prosper Funding LLC,prosper.com,San Francisco,operating,"Commerce and Shopping,Financial Services",17.0,415455497.0,415455497.0,2005-01-01,2018-01-01,251-500,415455497.0,,,,,,,,,cd8ae6a3-c436-353e-616c-7be832191b9c,Chris Larsen,2005-02-01,2012-03-01,False,Co-Founder & CEO,executive,Chris,Larsen,male,,https://www.linkedin.com/in/chris-larsen-02b868181/,http://twitter.com/chrislarsensf,0,1,1
131,551a0d3e-b89a-ee46-a18e-6dd88083d871,Rippleworks Foundation,rippleworks.org,California City,operating,"Community and Lifestyle,Financial Services,Information Technology,Lending and Investments,Other",1.0,60000000.0,60000000.0,2015-01-01,2015-04-23,11-50,60000000.0,,,,,,,,,cd8ae6a3-c436-353e-616c-7be832191b9c,Chris Larsen,,,True,Co Founder,employee,Chris,Larsen,male,,https://www.linkedin.com/in/chris-larsen-02b868181/,http://twitter.com/chrislarsensf,0,1,1
132,4c8d7754-50b1-a165-3dfe-a5d62877bbb6,Prosper Funding LLC,prosper.com,San Francisco,operating,"Commerce and Shopping,Financial Services",17.0,415455497.0,415455497.0,2005-01-01,2018-01-01,251-500,415455497.0,,,,,,,,,4f9dba34-2651-9537-a152-292b255220bb,John Witchel,2005-05-01,2008-08-01,False,CTO and Co-Founder,executive,John,Witchel,male,,http://www.linkedin.com/in/jwitchel,,0,1,0
159,5b12e278-7676-b3f2-e81c-926b4cc46bc3,"OpenDNS, Inc.",opendns.com,San Francisco,acquired,"Internet Services,Other,Privacy and Security",5.0,54040000.0,54040000.0,2005-11-01,2014-05-14,501-1000,54040000.0,OpenDNS,Cisco,2015-06-30,,,,,,b1b20015-2dce-ce49-85b5-082119c39cfc,Halsey Minor,2006-01-01,2010-01-01,False,Founder,executive,Halsey,Minor,male,,https://www.linkedin.com/in/halseyminor/,https://twitter.com/halseyminor,0,1,1
164,fdea27ca-a482-eed3-c419-775419ee1d06,"Blekko, Inc.",blekko.com,Redwood Shores,closed,"Content and Publishing,Internet Services,Media and Entertainment",9.0,60200000.0,60200000.0,2007-06-01,2013-06-05,10000+,60200000.0,Blekko,IBM,2015-03-27,,,,,,027e36b4-80d9-dd8a-96cc-a25069683cdc,Bryn Dole,,,False,Co-Founder,executive,Bryn,Dole,male,https://www.facebook.com/bryn.dole,https://www.linkedin.com/in/bryndole,https://twitter.com/bauxring,1,1,1
216,ef51b254-7b99-6630-4b57-46f32719cf3d,comScore Inc.,comscore.com,Reston,ipo,"Advertising,Data and Analytics,Other,Sales and Marketing,Software",9.0,409639769.0,409639769.0,1999-08-01,2019-06-24,1001-5000,409639769.0,,,,2007-06-28,,,87400000.0,87400000.0,a7f6539b-907f-b08b-f6fb-4b035c5e07b8,Jay Bartot,1998-01-01,2001-01-01,False,"Co - Founder / VP, Engineering / CTO",employee,Jay,Bartot,male,,https://www.linkedin.com/in/jay-bartot,http://twitter.com/jbartot,0,1,1
222,2c0b76f3-f98d-e778-7fc9-d057f93fe995,"RockYou, Inc.",rockyou.com,San Francisco,closed,"Advertising,Apps,Gaming,Mobile,Sales and Marketing,Software",15.0,187725336.0,187725336.0,2005-11-01,2017-01-01,101-250,187725336.0,,,,,,,,,902b711d-af9f-8fe6-1c6d-43b7e65aee02,Lance Tokuda,2006-01-01,2010-01-01,False,CEO & Co-Founder,executive,Lance,Tokuda,male,,https://www.linkedin.com/in/lancetokuda,,0,1,0
224,2c0b76f3-f98d-e778-7fc9-d057f93fe995,"RockYou, Inc.",rockyou.com,San Francisco,closed,"Advertising,Apps,Gaming,Mobile,Sales and Marketing,Software",15.0,187725336.0,187725336.0,2005-11-01,2017-01-01,101-250,187725336.0,,,,,,,,,15d71bf9-7b03-c461-209d-fcfc2193f696,Jia Shen,2005-11-01,2010-07-01,False,"Founder, President & Chief Executive Officer",executive,Jia,Shen,male,http://www.facebook.com/mekatek,http://www.linkedin.com/pub/jia-shen/0/561/240,https://twitter.com/mekatek,1,1,1
231,311a9f34-9be4-6120-c0b9-85e6b5b17ae8,Roam Robotics Inc.,roamrobotics.com,San Francisco,operating,"Hardware,Health Care,Science and Engineering,Software,Sports",2.0,12000000.0,12000000.0,2012-01-01,2018-11-29,11-50,12000000.0,,,,,,,,,b5f4cfea-fbb5-4e3b-aa00-e21a9e244bc9,Saul Griffith,2014-01-01,2017-01-01,False,Co-Founder,executive,Saul,Griffith,male,,https://www.linkedin.com/in/saulgriffith,,0,1,0
263,b918293c-44a9-4b6f-9ee0-6fce98530f28,"Signal Digital, Inc.",signal.co,Chicago,acquired,"Administrative Services,Data and Analytics,Information Technology,Internet Services,Other,Sales and Marketing,Software",6.0,60100000.0,60100000.0,2009-09-26,2016-06-07,11-50,60100000.0,Signal,TransUnion,2020-08-17,,,,,,191bc98b-eba5-e357-22ea-6ee9f12140c4,Eric Lunt,,,True,Co-Founder,advisor,Eric,Lunt,male,https://www.facebook.com/elunt?fref=ts&ref=br_tf,,http://twitter.com/elunt,1,0,1
265,5a727ebb-83e8-1d3c-4d97-ad415827a8e1,"Blinkfire Analytics, Inc.",blinkfire.com,Chicago,operating,"Artificial Intelligence,Data and Analytics,Hardware,Internet Services,Media and Entertainment,Science and Engineering,Software,Sports",2.0,2500000.0,2500000.0,2013-01-01,2017-08-23,11-50,2500000.0,,,,,,,,,85072fe0-560b-6df4-c1e1-859c8cc7c0ff,Steve Olechowski,2013-04-01,,True,Founder and CEO,executive,Steve,Olechowski,male,https://www.facebook.com/steve.olechowski,http://www.linkedin.com/in/steveobd,http://twitter.com/steveobd,1,1,1
295,9c28a711-55dd-e337-5873-c19911c791d3,"Progressly, Inc.",progressly.com,Redwood City,closed,"Data and Analytics,Information Technology,Internet Services,Mobile,Privacy and Security,Software",1.0,6000000.0,6000000.0,2014-01-01,2016-09-20,11-50,6000000.0,Progressly,Box,2018-06-01,,,,,,e1f49c5c-c407-5eb6-60ad-14167b89f8ae,Clarence Wooten,2014-01-01,2018-01-01,False,Co-founder,executive,Clarence,Wooten,male,,http://www.linkedin.com/in/cwooten,http://twitter.com/clarencewooten,0,1,1
303,1567a263-a0ac-54db-99df-68fdf84f1841,"Meebo, Inc.",meebo.com,Mountain View,acquired,"Information Technology,Internet Services,Messaging and Telecommunications,Software",5.0,70000000.0,70000000.0,2005-02-01,2010-12-20,101-250,70000000.0,Meebo,Google,2012-06-04,,,,,,2375431a-91f6-403e-98ed-e14776f57199,Sandy Jen,,,True,Co-Founder & CTO,executive,Sandy,Jen,female,,https://www.linkedin.com/in/sandyjen,https://twitter.com/sandydjen,0,1,1
305,1567a263-a0ac-54db-99df-68fdf84f1841,"Meebo, Inc.",meebo.com,Mountain View,acquired,"Information Technology,Internet Services,Messaging and Telecommunications,Software",5.0,70000000.0,70000000.0,2005-02-01,2010-12-20,101-250,70000000.0,Meebo,Google,2012-06-04,,,,,,e64b539a-331f-3a3a-8937-96965e144df7,Seth Sternberg,2005-01-01,,True,CEO and Co-Founder,executive,Seth,Sternberg,male,,https://www.linkedin.com/in/sethjs/,http://twitter.com/sethjs,0,1,1
307,1567a263-a0ac-54db-99df-68fdf84f1841,"Meebo, Inc.",meebo.com,Mountain View,acquired,"Information Technology,Internet Services,Messaging and Telecommunications,Software",5.0,70000000.0,70000000.0,2005-02-01,2010-12-20,101-250,70000000.0,Meebo,Google,2012-06-04,,,,,,27d3014d-501b-07a8-223c-46da437e3aba,Elaine Wherry,2005-09-01,,True,Co -Founder,executive,Elaine,Wherry,female,,https://www.linkedin.com/in/elaine-wherry-she-her-9a9631/,http://twitter.com/elainewherry,0,1,1
311,9921555e-1f0c-9404-6e89-24bc1641085b,Xoom Corporation,xoom.com,San Francisco,acquired,"Commerce and Shopping,Financial Services,Payments",7.0,104349000.0,104349000.0,2001-03-01,2011-11-22,101-250,104349000.0,Xoom,PayPal,2015-07-02,2013-02-15,509422656.0,509422656.0,101200000.0,101200000.0,77d5871f-f84c-8bd1-38f5-ce36ea09ed55,Kevin Hartz,2001-08-01,2005-10-01,False,Co-Founder & CEO,executive,Kevin,Hartz,male,http://www.facebook.com/khartz,http://www.linkedin.com/in/hartz,http://twitter.com/kevinhartz,1,1,1
354,3d647490-e4dd-a58f-401b-86893b3c04e0,Knowingly Corporation,gigaom.com,San Francisco,operating,"Content and Publishing,Data and Analytics,Design,Events,Media and Entertainment,Professional Services",6.0,22000000.0,22000000.0,2006-01-01,2014-02-20,101-250,22000000.0,,,,,,,,,62d11f66-d578-a449-1a87-0964fd4383a1,Om Malik,2006-06-01,2013-12-01,False,Founder,executive,Om,Malik,male,,https://www.linkedin.com/in/om-malik-a9560413a/,http://twitter.com/om,0,1,1
355,3d647490-e4dd-a58f-401b-86893b3c04e0,Knowingly Corporation,gigaom.com,San Francisco,operating,"Content and Publishing,Data and Analytics,Design,Events,Media and Entertainment,Professional Services",6.0,22000000.0,22000000.0,2006-01-01,2014-02-20,101-250,22000000.0,,,,,,,,,dbb30915-1f4c-4ef1-714f-dec77ee8d477,Carleen Hawn,,,False,Editor of FoundRead,employee,Carleen,Hawn,female,,https://www.linkedin.com/in/carleen-hawn-383ab2,,0,1,0
356,3d647490-e4dd-a58f-401b-86893b3c04e0,Knowingly Corporation,gigaom.com,San Francisco,operating,"Content and Publishing,Data and Analytics,Design,Events,Media and Entertainment,Professional Services",6.0,22000000.0,22000000.0,2006-01-01,2014-02-20,101-250,22000000.0,,,,,,,,,5145e977-e2c2-4746-b86a-e7c3f434c6a2,Ben Book,2012-04-01,2020-04-01,False,Chief Strategy Officer & Co-Founder,executive,Ben,Book,male,,https://www.linkedin.com/in/benbook,https://twitter.com/ben_book,0,1,1
369,17f0e76e-ad8d-09b2-7f7c-3db8bfbac85d,Upwork Global Inc.,upwork.com,San Francisco,ipo,"Commerce and Shopping,Other,Professional Services,Software",12.0,168800000.0,168800000.0,1999-01-01,2016-10-27,251-500,168800000.0,,,,2018-10-02,1561000000.0,1561000000.0,187000000.0,187000000.0,198522ab-e9f6-d753-8e71-b54f6fedcc4f,Odysseas Tsatalos,2003-06-01,2015-02-01,False,Co-founder & CTO,executive,Odysseas,Tsatalos,male,,https://www.linkedin.com/in/tsatalos,,0,1,0
371,17f0e76e-ad8d-09b2-7f7c-3db8bfbac85d,Upwork Global Inc.,upwork.com,San Francisco,ipo,"Commerce and Shopping,Other,Professional Services,Software",12.0,168800000.0,168800000.0,1999-01-01,2016-10-27,251-500,168800000.0,,,,2018-10-02,1561000000.0,1561000000.0,187000000.0,187000000.0,03ccdcf3-0517-fa35-77b1-3746b0c5ecbb,Josh Breinlinger,2004-10-01,2010-01-15,False,Founding Team Member,employee,Josh,Breinlinger,male,http://www.facebook.com/breinlinger,http://www.linkedin.com/in/jbreinlinger,http://twitter.com/jbreinlinger,1,1,1
383,3a8cf069-24f9-486f-4d0a-9ed20639c984,Coremetrics,coremetrics.com,San Mateo,closed,"Advertising,Data and Analytics,Sales and Marketing",6.0,153000000.0,153000000.0,1999-01-01,2008-04-04,10000+,153000000.0,Coremetrics,IBM,2010-06-15,,,,,,ddbed9eb-03d5-fe98-04f2-306ee372e945,Joe Greenstein,,,False,Co-Founder,employee,Joe,Greenstein,male,https://www.facebook.com/joe.greenstein,http://www.linkedin.com/in/joegreenstein,https://twitter.com/greenstein_joe,1,1,1
390,8bb63939-c2f7-4619-b78b-64413c516a5d,"Bazaarvoice, Inc.",bazaarvoice.com,Austin,acquired,"Commerce and Shopping,Data and Analytics,Internet Services,Media and Entertainment,Software",5.0,130552663.0,130552663.0,2005-05-01,2012-11-16,501-1000,130552663.0,Bazaarvoice,Marlin Equity Partners,2017-11-27,2012-02-24,682274016.0,682274016.0,113811552.0,113811552.0,f9fcdea9-955f-9a66-275c-601e1ed63243,Brett Hurt,2005-05-01,2012-11-01,False,"Co-Founder, President & Chief Executive Officer",executive,Brett,Hurt,male,https://www.facebook.com/bretthurt,http://www.linkedin.com/in/bretthurt,https://twitter.com/databrett,1,1,1
392,8bb63939-c2f7-4619-b78b-64413c516a5d,"Bazaarvoice, Inc.",bazaarvoice.com,Austin,acquired,"Commerce and Shopping,Data and Analytics,Internet Services,Media and Entertainment,Software",5.0,130552663.0,130552663.0,2005-05-01,2012-11-16,501-1000,130552663.0,Bazaarvoice,Marlin Equity Partners,2017-11-27,2012-02-24,682274016.0,682274016.0,113811552.0,113811552.0,4557e85a-0082-7813-a93f-4d3420a58b0a,Brant Barton,2005-05-01,2012-12-01,False,Co-founder,executive,Brant,Barton,male,,https://www.linkedin.com/in/brant/,,0,1,0
393,8bb63939-c2f7-4619-b78b-64413c516a5d,"Bazaarvoice, Inc.",bazaarvoice.com,Austin,acquired,"Commerce and Shopping,Data and Analytics,Internet Services,Media and Entertainment,Software",5.0,130552663.0,130552663.0,2005-05-01,2012-11-16,501-1000,130552663.0,Bazaarvoice,Marlin Equity Partners,2017-11-27,2012-02-24,682274016.0,682274016.0,113811552.0,113811552.0,5b40eb80-2369-cfba-44fa-bbf4d4ab9eee,Sam Decker,2006-12-01,2010-11-01,False,Founder & Chief Marketing Officer,executive,Sam,Decker,male,http://www.facebook.com/deckermarketing,http://www.linkedin.com/in/samdecker,http://twitter.com/samdecker,1,1,1
395,678fba1e-90af-eb84-8a13-a8f1512d88d5,"PowerReviews, Inc.",powerreviews.com,Chicago,acquired,"Commerce and Shopping,Data and Analytics,Software",9.0,85772976.0,85772976.0,2005-01-01,2020-10-30,101-250,85772976.0,PowerReviews,Bazaarvoice,2012-05-24,,,,,,46ee37c9-19fa-b03a-0ce8-3921ccd86e76,Andy Chen,,2012-07-01,False,"Founder & VP, Strategic Partnerships",executive,Andy,Chen,male,,http://www.linkedin.com/in/buzzandy,http://twitter.com/buzzandy,0,1,1
